Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
512 - MANA_DAMAGE_TYPE,11 - Auroch,11-SWORD,,271 - Melee_CombatStyles,,1020 - base Tier 8,,,100667854 - Container,11 - Undead,,10 - Thrown_WeaponType,512 - FireRending_ImbuedEffectType,,,,,,2147483647 - FORCE_AMMO_TYPE_32_BIT,,11 - Amber,10 - BrightGreen (Fellowship),,,512 - UI_EFFECT_BLUDGEONING,66 - TripleSlash + Thrust_AttackType,19  Dires Group,32 - Free_PKStatus,,64 - TYPE_MONEY,,22 - No PK/PKL/Summon (16+4+2),,,,,"5 - Random, LastDamager",64 - USEABLE_NEVER_WALK,512 - CHEST_ARMOR_LOC (Chest),512 - Lower Legs (Armor),10,ID_CharacterTitle_Life_Caster,Life Caster,10 - ArmMindHeart,9,Loot Gen Steel Grey,GREY_PALETTE_TEMPLATE,,11,Admin,,,
1024 - NETHER_DAMAGE_TYPE,12 - Cow,12-THROWN WEAPON,,512 - Magic_CombatStyle,,1021 - Exquisite Casino Chest,,,100667856 - Useless,12 - Olthoi Soldier,,11 - TwoHanded_WeaponType,1024 - MeleeDefense_ImbuedEffectType,,,,,,,,12 - Amethyst,,,,1024 - UI_EFFECT_SLASHING,128 - DoubleThrust_AttackType,22  Caul Group,32 - Baelzharon_PKStatus,,128 - TYPE_MISC,,24 - NPK/Summon(16+8),,,,,"6 - Focused, LastDamager",96 - USEABLE_REMOTE_NEVER_WALK,1024 - ABDOMEN_ARMOR_LOC (Abdomen),1024 - Chest (Armor),11,ID_CharacterTitle_Soldier,Soldier,11 - ArmorPerfectLight,10,Loot Gen  Reef Blue,LIGHTBLUE_PALETTE_TEMPLATE,,12,Vendor,vendors,,
268435456 - BASE_DAMAGE_TYPE,13 - Golem,13-UNARMED COMBAT,,512 - Magic_CombatStyles,,1022 - Legendary Chest,,,100667859 - Gem,13 - Olthoi Spitter,,12 - Magic_WeaponType,2048 - MissileDefense_ImbuedEffectType,,,,,,,,13 - Aquamarine,,,,2048 - UI_EFFECT_PIERCING,130 - DoubleThrust + Thrust_AttackType,25  Bunnies,64 - PKLite_PKStatus,,256 - TYPE_MISSILE_WEAPON,,40 - NPK/Recall/Tie (32+8),,,,,"7 - Random, Focused, LastDamager",112 - USEABLE_VIEWED_REMOTE_NEVER_WALK,2048 - UPPER_ARM_ARMOR_LOC (Upper Arms),2048 - Abdomen (Armor),12,ID_CharacterTitle_Swashbuckler,Swashbuckler,12 - ArmorPerfectLight2,11,Loot Gen Wisteria Purple,MAROON_PALETTE_TEMPLATE,,13,HotSpot,"acid pits, toxic air, steam vents, mana pools",,
2147483647 - FORCE_DAMAGE_TYPE_32_BIT,14 - Undead,14-ARCANE LORE,,1024 - Atlatl_CombatStyle,,1023 - Legendary Armor Chest,,,100667853 - Spell Components,,,,4096 - MagicDefense_ImbuedEffectType,,,,,,,,14 - Azurite,,,,4096 - UI_EFFECT_NETHER,256 - TripleThrust_AttackType,"29  Enku Zefir, Azael Zefir",2147483647 - FORCE_PKStatusEnum_32_BIT,,257 - TYPE_WEAPON,,48 - No Recall/Tie/Summon (32+16),,,,,"9 - Random, TopDamager",120 - USEABLE_CONTAINED_VIEWED_REMOTE_NEVER_WALK,4096 - LOWER_ARM_ARMOR_LOC (Lower Arms),4096 - Upper Arms (Armor),13,ID_CharacterTitle_War_Mage,War Mage,13 - Soldiers,12,Loot Gen Blue,NAVY_PALETTE_TEMPLATE,,14,Corpse,corpse objects,,
,15 - Gromnie,15-MAGIC DEFENSE,,2048 - ThrownShield_CombatStyle,,1024 - Legendary Magic Chest,,,100667860 - Writable,,,,8192 - Spellbook_ImbuedEffectType,,,,,,,,15 - BlackGarnet,,,,2147483647 - FORCE_UI_EFFECT_TYPE_32_BIT,512 - OffhandThrust_AttackType,30  A few undead linked to a few quests,,,512 - TYPE_CONTAINER,,54 - No PKL/PK/Recall/Tie/Summon (32+16+4+2),,,,,"10 - Focused, TopDamager",128 - USEABLE_OBJSELF,8192 - UPPER_LEG_ARMOR_LOC (Upper Legs),8192 - Lower Arms (Armor),14,ID_CharacterTitle_Wayfarer,Wayfarer,14 - Adepts,13,Loot Gen Orchid Purple,PURPLE_PALETTE_TEMPLATE,,15,Cow,cows...,,
Table Ab - DAMAGE_TYPE_INT (Bitmask),16 - Reedshark,16-MANA CONVERSION,,3312 - Missile_CombatStyles,,1025 - Legendary Weapon Chest,,,100667860 - Key,,,,16384 - NetherRending_ImbuedEffectType,,,,,,,,16 - BlackOpal,,,,,1024 - OffhandSlash_AttackType,33  Chitticks,,,640 - TYPE_LOCKABLE_MAGIC_TARGET,,,,,,,"11 - Random, Focused, TopDamager",65535 - USEABLE_SOURCE_MASK,16384 - LOWER_LEG_ARMOR_LOC (Lower Legs),16384 - Head (Armor),15,ID_CharacterTitle_Abhorrent_Warrior,Abhorrent Warrior,15 - Archers,14,Loot Gen Red,RED_PALETTE_TEMPLATE,,16,AI,,,
3 - Slashing/Piercing (2+1),17 - Armoredillo,17-SPELLCRAFT,,4096 - Reserved1_CombatStyle,,,,,100667860 - Caster,,,,536870912 - IgnoreSomeMagicProjectileDamage_ImbuedEffectType,,,,,,,,17 - Bloodstone,,,,,2048 - OffhandDoubleSlash_AttackType,35  Olthoi,,,1024 - TYPE_USELESS,,,,,,,"12 - LastDamager, TopDamager",262148 - USEABLE_SOURCE_WIELDED_TARGET_WIELDED (262140+4+4) (Use Wielded Item on Target's Wielded Item) (unused),32256 - ARMOR_LOC,32768 - Hands (Armor),16,ID_CharacterTitle_Alchemist,Alchemist,16 - Defenders,15,Loot Gen Royal Purple,REDPURPLE_PALETTE_TEMPLATE,,17,Machine,the great machine,,
,18 - Fae,18-ITEM APPRAISAL,,8092 - Reserved2_CombatStyle,,,,,100667860 - Portal,,,,1073741824 - AlwaysCritical_ImbuedEffectType,,,,,,,,18 - Carnelian,,,,,4096 - OffhandTripleSlash_AttackType,39  Two Headed Snowman,,,2048 - TYPE_GEM,,,,,,,"13 - Random, LastDamager, TopDamager",262152 - USEABLE_SOURCE_CONTAINED_TARGET_WIELDED (262140+8+4) (Use Inventory Item on Target's Wielded Item) (unused),32768 - NECK_WEAR_LOC (Necklace),65536 - Feet (Armor),17,ID_CharacterTitle_Annihilator,Annihilator,17 - Tinkers,16,Loot Gen Clay Brown,ROSE_PALETTE_TEMPLATE,,18,Food,consumable foods,,
,19 - Virindi,19-PERSONAL APPRAISAL,,16384 - Reserved3_CombatStyle,,,,,100667860 - Lockable,,,,2147483647 - FORCE_ImbuedEffectType_32_BIT,,,,,,,,19 - Citrine,,,,,8192 - OffhandDoubleThrust_AttackType,41  Rabbits,,,4096 - TYPE_SPELL_COMPONENTS,,,,,,,"14 - Focused, LastDamager, TopDamager",262160 - USEABLE_SOURCE_VIEWED_TARGET_WIELDED (262140+16+4) (Use ??? on Wielded Item) (unused),65536 - WRIST_WEAR_LEFT_LOC (Left Bracelet),131072 - Back (Cloak),18,ID_CharacterTitle_Apothecary,Apothecary,18 - Crafters,17,Loot Gen Gold,YELLOW_PALETTE_TEMPLATE,,19,Door,"all doors, gates, barriers",,
,20 - Wisp,20-DECEPTION,,32768 - Reserved4_CombatStyle,,,,,100667860 - PromissoryNote,,,,,,,,,,,,20 - Diamond,,,,,16384 - OffhandTripleThrust_AttackType,48  Martinate Simulacrum,,,8192 - TYPE_WRITABLE,,,,,,,"15 - Random, Focused, LastDamager, TopDamager",262176 - USEABLE_SOURCE_REMOTE_TARGET_WIELDED (262140+32+4) (Use World Object on Wielded Item) (unused),131072 - WRIST_WEAR_RIGHT_LOC (Right Bracelet),,19,ID_CharacterTitle_Arctic_Adventurer,Arctic Adventurer,19 - Hearty,18,Loot Gen Brown,YELLOWBROWN_PALETTE_TEMPLATE,,20,Chest,all chest types,,
,21 - Knathtead,21-HEALING,,65535 - All_CombatStyle,,,,,100667860 - Manastone,,,,,,,,,,,,21 - Emerald,,,,,31200 - MultiStrike_AttackType,50  Mosswarts,,,16384 - TYPE_KEY,,,,,,,"17 - Random, Weakest",524292 - USEABLE_SOURCE_WIELDED_TARGET_CONTAINED (524280+8+4) (Use Wielded Item on Inventory Item) (unused),196608 - WRIST_WEAR_LOC (Either Bracelet Slot),Table Rb - CLOTHING_PRIORITY_INT (Clothing Bitmasks),20,ID_CharacterTitle_Arctic_Mattekar_Annihilator,Arctic Mattekar Annihilator,20 - Dexterous,19,,COPPER_PALETTE_TEMPLATE,,21,Container,"inventory packs, bookshelves, some corpse objects",,
,22 - Shadow,22-JUMP,,65536 - StubbornMagic_CombatStyle,,,,,100687395 - Service,,,,,,,,,,,,22 - FireOpal,,,,,2147483647 - FORCE_AttackType_32_BIT,55  Carenzis,,,32768 - TYPE_CASTER,,,,,,,"18 - Focused, Weakest",524296 - USEABLE_SOURCE_CONTAINED_TARGET_CONTAINED (524280+8+8) (Use Inventory Item on Inventory Item) (Crafting),262144 - FINGER_WEAR_LEFT_LOC (Left Ring),6 - Upper+Lower Legs (Underwear) (4+2),21,ID_CharacterTitle_Artifex,Artifex,21 - Wise,20,,SILVER_PALETTE_TEMPLATE,,22,Key,keys,,
,23 - Mattekar,23-LOCKPICK,,131072 - StubbornProjectile_CombatStyle,,,,,100667860 - MagicWieldable,,,,,,,,,,,,23 - GreenGarnet,,,,,,56  Siraluun,,,33025 - TYPE_WEAPON_OR_CASTER,,,,,,,"19 - Random, Focused, Weakest",524304 - USEABLE_SOURCE_VIEWED_TARGET_CONTAINED (524280+16+8) (Use ??? on Inventory Item) (unused),524288 - FINGER_WEAR_RIGHT_LOC (Right Ring),"22 - Abdomen, Upper+Lower Legs (Underwear) (16+4+2)",22,ID_CharacterTitle_Axe_Warrior,Axe Warrior,22 - Swift,21,,GOLD_PALETTE_TEMPLATE,,23,Lockpick,lockpicks,,
,24 - Mumiyah,24-RUN,,262144 - StubbornMelee_CombatStyle,,,,,100667860 - CraftCookingBase,,,,,,,,,,,,24 - GreenJade,,,,,,58  Marae Lassel Reedsharks,,,33031 - TYPE_REDIRECTABLE_ITEM_ENCHANTMENT_TARGET,,,,,,,"20 - LastDamager, Weakest",524320 - USEABLE_SOURCE_REMOTE_TARGET_CONTAINED (524280+32+8) (Use World Object on Inventory Item) (unused),786432 - FINGER_WEAR_LOC (Either Ring Slot),"40 Chest, Upper Arms (Underwear) (32+8)",23,ID_CharacterTitle_Ballisteer,Ballisteer,23 - Hardened,22,,AQUA_PALETTE_TEMPLATE,,24,PressurePlate,event/trap triggers,,
,25 - Rabbit,25-AWARENESS,,524288 - StubbornMissile_CombatStyle,,,,,100667860 - CraftAlchemyBase,,,,,,,,,,,,25 - Hematite,,,,,,59  Hollow Minions,,,65536 - TYPE_PORTAL,,,,,,,"21 - Random, LastDamager, Weakest","655364 - USEABLE_SOURCE_WIELDED_TARGET_SELF (524288+65535+65535+4+2) (Use Wielded Item on Self) (Portal Wands, Casting Stein)",1048576 - MELEE_WEAPON_LOC (Melee Weapon),"56 - Chest, Abdomen, Upper Arms (Underwear) (32+16+8)",24,ID_CharacterTitle_Bane_of_the_Remoran,Bane of the Remoran,24 - Reinforced,23,,DARKAQUAMETAL_PALETTE_TEMPLATE,,25,LifeStone,,,
,26 - Sclavus,26-ARMS AND ARMOR REPAIR,,2147483647 - FORCE_CombatStyle_32_BIT,,,,,100667860 - CraftFletchingBase,,,,,,,,,,,,26 - ImperialTopaz,,,,,,"62  Harbinger, Tentacles from Harbinger Quest",,,131072 - TYPE_LOCKABLE,,,,,,,"22 - Focused, LastDamager, Weakest",655368 - USEABLE_SOURCE_CONTAINED_TARGET_SELF_OR_CONTAINED (524288+65535+65535+8+2) (Use Inventory Item on Self OR Inventory Item) (ManaStones),2097152 - SHIELD_LOC (Shield),"104 - Chest, Upper+Lower Arms (Underwear) (64+32+8)",25,ID_CharacterTitle_Blood_Shreth_Butcher,Blood Shreth Butcher,25 - Interlocking,24,,DARKBLUEMETAL_PALETTE_TEMPLATE,,26,Switch,"levers, buttons, traps",,
